"filename", "language", "C#", "XML", "comment", "blank", "total"
"c:\Users\A S\source\AdminArchive\ViewModel\AccountVM.cs", "C#", 19, 0, 0, 3, 22
"c:\Users\A S\source\AdminArchive\ViewModel\BaseViewModel.cs", "C#", 14, 0, 0, 2, 16
"c:\Users\A S\source\AdminArchive\ViewModel\ContainerVM.cs", "C#", 23, 0, 0, 3, 26
"c:\Users\A S\source\AdminArchive\ViewModel\EditBaseVM.cs", "C#", 47, 0, 0, 4, 51
"c:\Users\A S\source\AdminArchive\ViewModel\FundPageVM.cs", "C#", 142, 0, 11, 17, 170
"c:\Users\A S\source\AdminArchive\ViewModel\FundWindowVM.cs", "C#", 80, 0, 0, 8, 88
"c:\Users\A S\source\AdminArchive\ViewModel\InventoryPageVM.cs", "C#", 52, 0, 3, 7, 62
"c:\Users\A S\source\AdminArchive\ViewModel\InventoryWindowVM.cs", "C#", 83, 0, 0, 8, 91
"c:\Users\A S\source\AdminArchive\ViewModel\MainPageVM.cs", "C#", 11, 0, 0, 3, 14
"c:\Users\A S\source\AdminArchive\ViewModel\PageBaseVM.cs", "C#", 32, 0, 9, 5, 46
"c:\Users\A S\source\AdminArchive\View\Pages\AccountPage.xaml", "XML", 0, -59, 0, -2, -61
"c:\Users\A S\source\AdminArchive\View\Pages\AccountPage.xaml.cs", "C#", -24, 0, -3, -2, -29
"c:\Users\A S\source\AdminArchive\View\Pages\AdminPage.xaml", "XML", 0, -11, 0, -2, -13
"c:\Users\A S\source\AdminArchive\View\Pages\AdminPage.xaml.cs", "C#", -24, 0, -3, -2, -29
"c:\Users\A S\source\AdminArchive\View\Pages\DocumentPage.xaml", "XML", 0, -34, 0, -2, -36
"c:\Users\A S\source\AdminArchive\View\Pages\DocumentPage.xaml.cs", "C#", -24, 0, -3, -2, -29
"c:\Users\A S\source\AdminArchive\View\Pages\FundPage.xaml", "XML", 0, -46, 0, -1, -47
"c:\Users\A S\source\AdminArchive\View\Pages\FundPage.xaml.cs", "C#", -25, 0, -3, -2, -30
"c:\Users\A S\source\AdminArchive\View\Pages\InventoryPage.xaml", "XML", 0, -38, 0, -1, -39
"c:\Users\A S\source\AdminArchive\View\Pages\InventoryPage.xaml.cs", "C#", -25, 0, -3, -2, -30
"c:\Users\A S\source\AdminArchive\View\Pages\MainPage.xaml", "XML", 0, -36, 0, -1, -37
"c:\Users\A S\source\AdminArchive\View\Pages\MainPage.xaml.cs", "C#", -14, 0, -3, -2, -19
"c:\Users\A S\source\AdminArchive\View\Pages\SettingsPage.xaml", "XML", 0, -49, 0, -1, -50
"c:\Users\A S\source\AdminArchive\View\Pages\SettingsPage.xaml.cs", "C#", -24, 0, -3, -2, -29
"c:\Users\A S\source\AdminArchive\View\Pages\StorageUnitPage.xaml", "XML", 0, -12, 0, -3, -15
"c:\Users\A S\source\AdminArchive\View\Pages\StorageUnitPage.xaml.cs", "C#", -24, 0, -3, -2, -29
"c:\Users\A S\source\AdminArchive\View\UserControls\AccountUC.xaml", "XML", 0, -46, 0, -1, -47
"c:\Users\A S\source\AdminArchive\View\UserControls\AccountUC.xaml.cs", "C#", -24, 0, -3, -2, -29
"c:\Users\A S\source\AdminArchive\View\UserControls\ProtocolUC.xaml", "XML", 0, -11, 0, -2, -13
"c:\Users\A S\source\AdminArchive\View\UserControls\ProtocolUC.xaml.cs", "C#", -24, 0, -3, -2, -29
"c:\Users\A S\source\AdminArchive\View\Windows\Container.xaml", "XML", 0, -40, 0, -1, -41
"c:\Users\A S\source\AdminArchive\View\Windows\Container.xaml.cs", "C#", -14, 0, -3, -2, -19
"c:\Users\A S\source\AdminArchive\View\Windows\DocumentWindow.xaml", "XML", 0, -171, 0, -2, -173
"c:\Users\A S\source\AdminArchive\View\Windows\DocumentWindow.xaml.cs", "C#", -23, 0, -3, -2, -28
"c:\Users\A S\source\AdminArchive\View\Windows\FundWindow.xaml", "XML", 0, -249, 0, -2, -251
"c:\Users\A S\source\AdminArchive\View\Windows\FundWindow.xaml.cs", "C#", -24, 0, -3, -2, -29
"c:\Users\A S\source\AdminArchive\View\Windows\InventoryWindow.xaml", "XML", 0, -193, 0, -2, -195
"c:\Users\A S\source\AdminArchive\View\Windows\InventoryWindow.xaml.cs", "C#", -23, 0, -3, -2, -28
"c:\Users\A S\source\AdminArchive\View\Windows\StorageUnitWindow.xaml", "XML", 0, -11, 0, -2, -13
"c:\Users\A S\source\AdminArchive\View\Windows\StorageUnitWindow.xaml.cs", "C#", -23, 0, -3, -2, -28
"Total", "-", 164, -1006, -22, 5, -859
